ID	ALIGNMENT	COGIDS	CONCEPT	DOCULECT	FORM	SOURCE	TOKENS	VALUE	NOTE	BORROWING
633	ʃ u n + - tʃ i k	111 58	1PL VERBAL FUTURE	Chimborazo	šuncik	beukema1975	ʃ u n + tʃ i k	šuncik		
634	k a + n i	234 235	1S VERBAL	Chimborazo	ka-ni	beukema1975	k a + n i	ka-ni		
635	ʃ a - -	280	1S VERBAL FUTURE	Chimborazo	ša	beukema1975	ʃ a	ša		
637	n g i	370	2S VERBAL	Chimborazo	ngi	beukema1975	n g i	ngi		
638	n g a k u n a	428	3PL FUTURE	Chimborazo	ngakuna	beukema1975	n g a k u n a	ngakuna		
640	n g a	446	3S FUTURE	Chimborazo	nga	beukema1975	n g a	nga		
641	n	546	3S VERBAL	Chimborazo	n	beukema1975	n	n		
642	m a n t a	571	ABLATIVE	Chimborazo	manta	beukema1975	m a n t a	manta		
643	t a	614	ACCUSATIVE	Chimborazo	ta	beukema1975	t a	ta		
644	p i ʃ	639	ADDITIVE	Chimborazo	piš	beukema1975	p i ʃ	piš		
645	k	674	AGENTIVE	Chimborazo	k	beukema1975	k	k		
646	p a k	720	BENEFACTIVE	Chimborazo	pak	beukema1975	p a k	pak		
647	tʃ i	766	CAUSATIVE	Chimborazo	ci	beukema1975	tʃ i	ci		
649	m u	800	CISLOCATIVE	Chimborazo	mu	beukema1975	m u	mu		
650	j a ʒ i	826	COMPARATIVE	Chimborazo	yaži	beukema1975	j a ʒ i	yaži		
651	m a n	853	CONDITIONAL	Chimborazo	man	beukema1975	m a n	man		
652	m a r i	873	CONFIRMED OPINION	Chimborazo	mari	beukema1975	m a r i	mari	No hay ejemplos	
653	r a k	877	CONTINUATIVE	Chimborazo	rak	beukema1975	r a k	rak		
654	t a k	905	CONTRASTIVE	Chimborazo	tak	beukema1975	t a k	tak		
655	m a n	911	DATIVE/ILATIVE	Chimborazo	man	beukema1975	m a n	man		
656	tʃ ai	1036	DISTAL DEMONSTRATIVE	Chimborazo	cay	beukema1975	tʃ ai	cay		
657	- - k u	17	PROGRESSIVE	Chimborazo	ku	beukema1975	k u	ku		
658	a r i	1095	EMPHATIC	Chimborazo	ari	beukema1975	a r i	ari		
659	tʃ a r i	19	EVIDENTIAL CONJECTURAL	Chimborazo	cari	beukema1975	tʃ a r i	cari	'Unconfirmed opinion'. Fusion of cu + ri. bacuk + cari, lamb + Unc, 'it must be the lamb'.	
660	m i	1157	EVIDENTIAL DIRECT	Chimborazo	mi	beukema1975	m i	mi		
661	ʃ i	1198	EVIDENTIAL REPORTATIVE	Chimborazo	ši	beukema1975	ʃ i	ši		
662	p a k	1315	GENITIVE	Chimborazo	pak	beukema1975	p a k	pak		
663	p a	1356	HONORIFIC	Chimborazo	pa	beukema1975	p a	pa		
664	i	30	IMPERATIVE	Chimborazo	y	beukema1975	i	y		
665	- r i	1397	MIDDLE VOICE	Chimborazo	ri	beukema1975	r i	ri		
666	j a	1419	INCHOATIVE	Chimborazo	ya	beukema1975	j a	ya		
667	i	30	INFINITIVE	Chimborazo	y	beukema1975	i	y		
668	w a n	1507	INSTRUMENTAL-COMITATIVE	Chimborazo	wan	beukema1975	w a n	wan		
669	w a n	1507	INSTRUMENTAL-COMITATIVE	Chimborazo	wan	beukema1975	w a n	wan		
670	k a m a -	1578	LIMITATIVE	Chimborazo	kama	beukema1975	k a m a	kama		
671	p i	1603	LOCATIVE	Chimborazo	pi	beukema1975	p i	pi		
672	s a p a	1656	MULTIPLE POSSESSIVE	Chimborazo	sapa	beukema1975	s a p a	sapa		
673	tʃ u	1682	NEGATION	Chimborazo	cu	beukema1975	tʃ u	cu		
674	n a	1711	NOMINALIZER NA	Chimborazo	na	beukema1975	n a	na	Concretizador	
675	r k a	1770	PAST TENSE	Chimborazo	rka	beukema1975	r k a	rka		
676	ʃ k a	1800	PERFECT	Chimborazo	ška	beukema1975	ʃ k a	ška		
677	ʃ k a	1800	PERFECTIVIZER	Chimborazo	ška	beukema1975	ʃ k a	ška		
678	k u n a	1855	PLURAL	Chimborazo	kuna	beukema1975	k u n a	kuna		
679	a m a	1918	PROHIBITIVE	Chimborazo	ama	beukema1975	a m a	ama		
680	k ai	1927	PROXIMAL DEMONSTRATIVE	Chimborazo	kay	beukema1975	k ai	kay		
682	n a k u	1976	RECIPROCAL	Chimborazo	naku	beukema1975	n a k u	naku		
683	n t a -	2009	NOMINAL REPETITIVE	Chimborazo	nta	beukema1975	n t a	nta		
684	ʃ p a	2113	SUBORDINATOR IDSUB	Chimborazo	špa	beukema1975	ʃ p a	špa, ngapak	/-ngapak/ ‘Consequential – equivalent subject’	
685	n g a p a k	1939	SUBORDINATOR	Chimborazo	ngapak	beukema1975	n g a p a k	špa, ngapak	/-ngapak/ ‘Consequential – equivalent subject’	
686	k p i	26	SUBORDINATOR DIFFSUB	Chimborazo	kpi	beukema1975	k p i	kpi, cun		
687	- tʃ u n	22	SUBORDINATOR CONSEQUENCE	Chimborazo	cun	beukema1975	tʃ u n	kpi, cun	/-cun/ ‘Consequential – different subject’	
688	k a	2178	TOPIC	Chimborazo	ka	beukema1975	k a	ka		
689	r a	11	UNINTERRUPTED ACTION	Chimborazo	ra	beukema1975	r a	ra		
690	ɲ a	1019	DISCONTINUATIVE	Chimborazo	ña	beukema1975	ɲ a	ña		
691	w a	3	1 OBJECT	Cuzco	wa	cusihuaman1976	w a	wa		
692	j k i	24	1S SUBJECT 2S OBJECT	Cuzco	yki	cusihuaman1976	j k i	yki		
693	tʃ - - + w a n	111 3	1PL VERBAL CONDITIONAL	Cuzco	chwan	cusihuaman1976	tʃ + w a n	man		
694	t a n t a + j	155 156	1S POSSESSOR	Cuzco	tanta-y	cusihuaman1976	t a n t a + j	tanta-y		
695	k a + n i	234 235	1S VERBAL	Cuzco	ka-ni	cusihuaman1976	k a + n i	ka-ni		
696	s a q -	280	1S VERBAL FUTURE	Cuzco	saq	cusihuaman1976	s a q	saq		
697	w a q	325	2S CONDITIONAL	Cuzco	waq	cusihuaman1976	w a q	waq		
699	w a + n k i	3 370	2S SUBJECT 1S OBJECT	Cuzco	wanki	cusihuaman1976	w a + n k i	wanki		
700	n k i	370	2S VERBAL	Cuzco	nki	cusihuaman1976	n k i	nki		
701	w a + n tʃ i s	3 486	3S SUBJECT 1PL OBJECT	Cuzco	wanchis	cusihuaman1976	w a + n tʃ i s	wanchis		
702	w a + n	3 546	3S SUBJECT 1S OBJECT	Cuzco	wan	cusihuaman1976	w a + n	wan		
703	s u n k i tʃ i s	526	3S SUBJECT 2PL OBJECT	Cuzco	sunkichis	cusihuaman1976	s u n k i tʃ i s	sunkichis		
704	s u - - - + n k i	337 528	3S SUBJECT 2S OBJECT	Cuzco	su	cusihuaman1976	s u + n k i	su		
705	n	546	3S VERBAL	Cuzco	n	cusihuaman1976	n	n		
706	m a n t a	571	ABLATIVE	Cuzco	manta	cusihuaman1976	m a n t a	manta		
707	j s i	598	ACCOMPANIMENT	Cuzco	ysi	cusihuaman1976	j s i	ysi		
708	t a	614	ACCUSATIVE	Cuzco	ta	cusihuaman1976	t a	ta		
709	p i s	639	ADDITIVE	Cuzco	pis	cusihuaman1976	p i s	pis, pas		
710	p a s	639	ADDITIVE	Cuzco	pas	cusihuaman1976	p a s	pis, pas		
711	q e	668	ADDOPTIVE	Cuzco	qe	cusihuaman1976	q e	qe		
712	q	674	AGENTIVE	Cuzco	q	cusihuaman1976	q	q		
713	n e q	702	APPROXIMATIVE	Cuzco	neq	cusihuaman1976	n e q	neq		
714	ʎ i	718	AUTOTRANSFORMATIVE	Cuzco	lli	cusihuaman1976	ʎ i	lli		
715	p a q	720	BENEFACTIVE	Cuzco	paq	cusihuaman1976	p a q	paq		
716	p u n i	787	ASSERTIVE	Cuzco	puni	cusihuaman1976	p u n i	puni		
717	t i	797	CHARACTERISTIC	Cuzco	ti	cusihuaman1976	t i	ti, li		
718	l i	798	CHARACTERISTIC	Cuzco	li	cusihuaman1976	l i	ti, li		
719	m u	800	CISLOCATIVE	Cuzco	mu	cusihuaman1976	m u	mu		
720	n i ɾ ai	827	SIMILITUDE	Cuzco	niray	cusihuaman1976	n i ɾ ai	niray, niraq		
721	n i ɾ a q	827	SIMILITUDE	Cuzco	niraq	cusihuaman1976	n i ɾ a q	niray, niraq		
722	ɾ a j a	8	UNINTERRUPTED ACTION	Cuzco	raya	cusihuaman1976	ɾ a j a	raya		
723	m a n	911	DATIVE/ILATIVE	Cuzco	man	cusihuaman1976	m a n	man		
724	p a s a	937	DESESPERATIVE	Cuzco	pasa	cusihuaman1976	p a s a	pasa		
725	n a j a	939	DESIDERATIVE	Cuzco	naya	cusihuaman1976	n a j a	naya		
726	tʃ a	976	DIMINUTIVE	Cuzco	cha	cusihuaman1976	tʃ a	cha		
727	ɲ a	1019	DISCONTINUATIVE	Cuzco	ña	cusihuaman1976	ɲ a	ña		
728	n k a	1054	DISTRIBUTIVE	Cuzco	nka	cusihuaman1976	n k a	nka		
729	s u n a	1058	DUBITATIVE	Cuzco	suna	cusihuaman1976	s u n a	suna, sina		
730	s i n a	1058	DUBITATIVE	Cuzco	sina	cusihuaman1976	s i n a	suna, sina		
731	ʃ - a	1062	PROGRESSIVE	Cuzco	sha	cusihuaman1976	ʃ a	sha		
732	- ( - ) j a ( - )	20	INTENSIFIER	Cuzco	ya	cusihuaman1976	j a	ya		
733	tʃ a	18	EVIDENTIAL CONJECTURAL	Cuzco	cha	cusihuaman1976	tʃ a	cha		
734	m i	1157	EVIDENTIAL DIRECT	Cuzco	mi	cusihuaman1976	m i	mi		
735	s i	1198	EVIDENTIAL REPORTATIVE	Cuzco	si	cusihuaman1976	s i	si, s		
736	s -	1198	EVIDENTIAL REPORTATIVE	Cuzco	s	cusihuaman1976	s	si, s		
737	t i j a	32	SIMULATIVE	Cuzco	tiya	cusihuaman1976	t i j a	tiya		
738	tʃ a	1272	FACTIVE	Cuzco	cha	cusihuaman1976	tʃ a	cha		
739	p a j a	7	REPETITIVE	Cuzco	paya	cusihuaman1976	p a j a	paya		
741	- - q	1315	GENITIVE	Cuzco	q	cusihuaman1976	q	q; pa	phon. variation of pa	
742	p a -	1315	GENITIVE	Cuzco	pa	cusihuaman1976	p a	q; pa		
744	i	30	IMPERATIVE	Cuzco	y	cusihuaman1976	i	y		
746	- ɾ i	1397	INCEPTIVE	Cuzco	ri	cusihuaman1976	ɾ i	ri		
747	j a	1419	INCHOATIVE	Cuzco	ya	cusihuaman1976	j a	ya		
748	n t i -	1443	INCLUSIVE	Cuzco	nti	cusihuaman1976	n t i	nti, sti		
750	i	30	INFINITIVE	Cuzco	y	cusihuaman1976	i	y		
751	tʃ u -	1486	INJUNCTIVE	Cuzco	chu	cusihuaman1976	tʃ u	chu		
752	w a n	1507	INSTRUMENTAL-COMITATIVE	Cuzco	wan	cusihuaman1976	w a n	wan		
754	j p a ɾ i	1547	INTENTIONAL	Cuzco	ypari	cusihuaman1976	j p a ɾ i	ypari	rpari	
755	p i	1603	LOCATIVE	Cuzco	pi	cusihuaman1976	p i	pi		
756	k u	1637	MIDDLE VOICE	Cuzco	ku	cusihuaman1976	k u	ku		
757	s a p a	1656	MULTIPLE POSSESSIVE	Cuzco	sapa	cusihuaman1976	s a p a	sapa		
758	tʃ u	1682	NEGATION	Cuzco	chu	cusihuaman1976	tʃ u	chu		
759	n a	1741	OBLIGATIVE	Cuzco	na	cusihuaman1976	n a	na		
760	i ɾ u	1743	OCCUPATIONAL	Cuzco	iru	cusihuaman1976	i ɾ u	iru, ira		
761	i ɾ a	1743	OCCUPATIONAL	Cuzco	ira	cusihuaman1976	i ɾ a	iru, ira		
763	s q a	1800	PERFECTIVIZER	Cuzco	sqa	cusihuaman1976	s q a	sqa		
764	m p a	1885	POSITIONAL	Cuzco	mpa	cusihuaman1976	m p a	mpa		
765	j o q ( - - )	1887	POSSESSIVE	Cuzco	yoq	cusihuaman1976	j o q	yoq		
766	tʃ i	766	CAUSATIVE	Cuzco	chi	cusihuaman1976	tʃ i	chi		
767	ɾ ai k u	1948	REASON	Cuzco	rayku	cusihuaman1976	ɾ ai k u	rayku		
768	n a - -	1976	RECIPROCAL	Cuzco	na	cusihuaman1976	n a	na		
769	n	2004	RELATIVE	Cuzco	n	cusihuaman1976	n	n		
770	j m a n a	2006	REMEMORATIVE	Cuzco	ymana	cusihuaman1976	j m a n a	ymana		
771	p a	2008	REPETITIVE	Cuzco	pa	cusihuaman1976	p a	pa		
772	s q a	2021	REPORTATIVE PAST TENSE	Cuzco	sqa	cusihuaman1976	s q a	sqa		
773	- ɾ i	1095	EMPHATIC	Cuzco	ri	cusihuaman1976	ɾ i	ri		
774	ʎ a	2039	RESTRICTIVE	Cuzco	lla	cusihuaman1976	ʎ a	lla		
777	t a q	2063	SEQUENTIAL	Cuzco	taq	cusihuaman1976	t a q	taq		
778	- k a tʃ a	1295	FREQUENTIVE	Cuzco	kacha	cusihuaman1976	k a tʃ a	kacha		
779	q a	2178	TOPIC	Cuzco	qa	cusihuaman1976	q a	qa		
780	p u	2201	VERBAL BENEFACTIVE	Cuzco	pu	cusihuaman1976	p u	pu		
781	ɾ - u	2234	URGENT	Cuzco	ru	cusihuaman1976	ɾ u	ru		
782	m a	4	1 OBJECT	Ferrenafe	ma	taylor1982	m a	ma		
783	j k i	24	1S SUBJECT 2S OBJECT	Ferrenafe	yki	taylor1982	j k i	yki		
784	ɾ ai	45	1 SUBJECT 2 OBJECT PRETERIT	Ferrenafe	ray	taylor1982	ɾ ai	ray		
785	ʃ u + ɾ ai	111 45	1 SUBJECT 2 OBJECT PRETERIT	Ferrenafe	shuray	taylor1982	ʃ u + ɾ ai	shuray		
786	n tʃ i k	58	1PL POSSESSOR	Ferrenafe	nchik	taylor1982	n tʃ i k	nchik		
787	n tʃ i k	58	1PL VERBAL	Ferrenafe	nchik	taylor1982	n tʃ i k	nchik		
788	ç u n	111	1PL VERBAL FUTURE	Ferrenafe	shun	taylor1982	ç u n	shun		
789	t a n t a + j	155 156	1S POSSESSOR	Ferrenafe	tanta-y	taylor1982	t a n t a + j	tanta-y		
790	ʃ u - + n i	111 235	1S SUBJECT 2S OBJECT	Ferrenafe	shuni	taylor1982	ʃ u + n i	shuni		
791	ʃ a + j k i	210 24	1S SUBJECT 2S OBJECT FUTURE	Ferrenafe	shayki	taylor1982	ʃ a + j k i	shayki, shushaq		
792	ʃ u - + ʃ a q -	111 280	1S SUBJECT 2S OBJECT FUTURE	Ferrenafe	shushaq	taylor1982	ʃ u + ʃ a q	shayki, shushaq		
793	k a + n i	234 235	1S VERBAL	Ferrenafe	ka-ni	taylor1982	k a + n i	ka-ni		
794	ç a q -	280	1S VERBAL FUTURE	Ferrenafe	shaq	taylor1982	ç a q	shaq		
795	m a + ɾ ai k i	4 308	2 SUBJECT 1 OBJECT PRETERIT	Ferrenafe	marayki	taylor1982	m a + ɾ ai k i	marayki		
796	ɾ ai k i	308	2 SUBJECT 3 OBJECT PRETERIT	Ferrenafe	rayki	taylor1982	ɾ ai k i	rayki		
797	ç u - - -	337	2S OBJECT	Ferrenafe	shu	taylor1982	ç u	shu		
798	i k i	348	2S POSSESSOR	Ferrenafe	yki	taylor1982	i k i	yki		
799	m a + n k i	4 370	2S SUBJECT 1S OBJECT	Ferrenafe	manki	taylor1982	m a + n k i	manki		
800	n k i	370	2S VERBAL	Ferrenafe	nki	taylor1982	n k i	nki		
801	m a + ç a	4 414	3 SUBJECT 1 OBJECT CONCL. PAST	Ferrenafe	masha	taylor1982	m a + ç a	masha		
802	m a + ɾ a n	4 420	3 SUBJECT 1 OBJECT PRETERIT	Ferrenafe	maran	taylor1982	m a + ɾ a n	maran		
803	ç u + ç a	205 418	3 SUBJECT 2 OBJECT CONCL. PAST	Ferrenafe	shusha	taylor1982	ç u + ç a	shusha		
804	ç u + ɾ a n	205 420	3 SUBJECT 2 OBJECT PRETERIT	Ferrenafe	shuran	taylor1982	ç u + ɾ a n	shuran		
805	ɾ a n	420	3 SUBJECT 3 OBJECT PRETERIT	Ferrenafe	ran	taylor1982	ɾ a n	ran		
808	- g a	446	3S FUTURE	Ferrenafe	nqa	taylor1982	g a	nqa		
809	n	466	3S POSSESSOR	Ferrenafe	n	taylor1982	n	n		
810	m a + n tʃ i k	4 486	3S SUBJECT 1PL OBJECT	Ferrenafe	manchik	taylor1982	m a + n tʃ i k	manchik		
811	m a + n	4 546	3S SUBJECT 1S OBJECT	Ferrenafe	man	taylor1982	m a + n	man		
812	ç u - - - + n	337 528	3S SUBJECT 2S OBJECT	Ferrenafe	shun	taylor1982	ç u + n	shun		
813	n	546	3S VERBAL	Ferrenafe	n	taylor1982	n	n		
815	m a n t a	571	ABLATIVE	Ferrenafe	manta	taylor1982	m a n t a	manta		
816	t a	614	ACCUSATIVE	Ferrenafe	ta	taylor1982	t a	ta		
817	p i s	639	ADDITIVE	Ferrenafe	pis	taylor1982	p i s	pis		
818	q	674	AGENTIVE	Ferrenafe	q	taylor1982	q	q		
819	p a q	720	BENEFACTIVE	Ferrenafe	paq	taylor1982	p a q	paq		
820	t a q	754	INTERROGATION	Ferrenafe	taq	taylor1982	t a q	taq	tematizador de formas interrogativas	
821	tʃ i	766	CAUSATIVE	Ferrenafe	chi	taylor1982	tʃ i	chi		
822	m u	800	CISLOCATIVE	Ferrenafe	mu	taylor1982	m u	mu		
823	n o -	9	COMPARATIVE	Ferrenafe	no	taylor1982	n o	no, yupaq		
824	j u p a q	828	LOOK-LIKE	Ferrenafe	yupaq	taylor1982	j u p a q	no, yupaq		
825	s k i	875	CONTEMPORARY	Ferrenafe	ski	taylor1982	s k i	ski	simultaneo?	
826	ɾ a q	877	CONTINUATIVE	Ferrenafe	raq	taylor1982	ɾ a q	raq		
827	m a n	911	DATIVE/ILATIVE	Ferrenafe	man	taylor1982	m a n	man	alativo	
828	i t u -	14	DIMINUTIVE	Ferrenafe	itU	taylor1982	i t u	itU		esp
829	- j k u	1007	DIRECTIONAL INSIDE	Ferrenafe	yku	taylor1982	j k u	yku		
830	ɾ q u	1014	DIRECTIONAL OUTSIDE	Ferrenafe	rqu	taylor1982	ɾ q u	rqu		
831	ɾ p u	1000	DIRECTIONAL DOWN	Ferrenafe	rpu	taylor1982	ɾ p u	rpu		
832	ɾ k u	993	DIRECTIONAL UP	Ferrenafe	rku	taylor1982	ɾ k u	rku		
833	j - a	16	PROGRESSIVE	Ferrenafe	ya	taylor1982	j a	ya		
834	- ɾ i	1095	EMPHATIC	Ferrenafe	ri	taylor1982	ɾ i	ri		
835	m i	1157	EVIDENTIAL DIRECT	Ferrenafe	mi	taylor1982	m i	mi		
836	ç i	1198	EVIDENTIAL REPORTATIVE	Ferrenafe	shi	taylor1982	ç i	shi	citativo	
837	p a -	1315	GENITIVE	Ferrenafe	pa	taylor1982	p a	pa		
838	i	30	IMPERATIVE	Ferrenafe	y	taylor1982	i	y		
839	i	30	INFINITIVE	Ferrenafe	y	taylor1982	i	y		
840	tʃ u n	1486	INJUNCTIVE	Ferrenafe	chun	taylor1982	tʃ u n	chun		
841	w a n	1507	INSTRUMENTAL-COMITATIVE	Ferrenafe	wan	taylor1982	w a n	wan		
842	k a m a -	1578	LIMITATIVE	Ferrenafe	kama	taylor1982	k a m a	kama		
843	p i	1603	LOCATIVE	Ferrenafe	pi	taylor1982	p i	pi		
844	k u	1637	MIDDLE VOICE	Ferrenafe	ku	taylor1982	k u	ku	participa de la acción o saca provecho de las consecuencias. ? Benefactivo?	
845	n a	1711	NOMINALIZER NA	Ferrenafe	na	taylor1982	n a	na	Concretizador.	
846	k a	1758	PASSIVE ACCIDENTAL	Ferrenafe	ka	taylor1982	k a	ka		
847	ɾ - a	1770	PAST TENSE	Ferrenafe	ra	taylor1982	ɾ a	ra	pasado pretérito	
848	ç - a	1800	PERFECT	Ferrenafe	sha	taylor1982	ç a	sha		
849	k u n a	1855	PLURAL	Ferrenafe	kuna	taylor1982	k u n a	kuna		
850	- i x ( u n )	1887	POSSESSIVE	Ferrenafe	yxun	taylor1982	i x u n	yxun	posesivo inpersonal. *-yuq, poseedor de o el qu eposee	
852	ɾ ai k u	1948	REASON	Ferrenafe	rayku	taylor1982	ɾ ai k u	rayku		
853	n a k u	1976	RECIPROCAL	Ferrenafe	naku	taylor1982	n a k u	naku		
854	g a	2039	RESTRICTIVE	Ferrenafe	ga	taylor1982	g a	ga, la	*/Ĭa/ protoquechua. Depende del contexto para g o l	
855	l a	2039	RESTRICTIVE	Ferrenafe	la	taylor1982	l a	ga, la	*/Ĭa/ protoquechua. Depende del contexto para g o l	
856	ɾ	2114	SUBORDINATOR IDSUB	Ferrenafe	r	taylor1982	ɾ	r		
857	- t i	2144	SUBORDINATOR DIFFSUB	Ferrenafe	ti	taylor1982	t i	ti		
858	q a	2178	TOPIC	Ferrenafe	qa	taylor1982	q a	qa		
859	s a p a	2263	VERBAL PLURAL	Ferrenafe	ghapa	taylor1982	s a p a	ghapa		
861	m a	4	1 OBJECT	Huallaga	ma	weber1996	m a	ma		
863	n tʃ i -	58	1PL POSSESSOR	Huallaga	nči	weber1996	n tʃ i	nči,ninči, niːkuna	[INCLUSIVA] /-nči(:)/ después de V cortas, el alargamiento se realiza solamente en sílabas abiertas no finales. [EXCLUSIVA] /-:kuna/ después de V .	
866	n tʃ i -	58	1PL VERBAL	Huallaga	nči	weber1996	n tʃ i	nči		
867	ʃ - - + w a n	111 3	1PL VERBAL CONDITIONAL	Huallaga	šwan	weber1996	ʃ + w a n	šwan		
868	ʃ u n	111	1PL VERBAL FUTURE	Huallaga	šun	weber1996	ʃ u n	šun	Es posible indicar primera persona plural exclusiva añadiendo /-kuna/ ‘plural’ a /-šaq/ ‘1FUT’, por ejemplo: /aywa-šaq-kuna-paq/ (ir-1FUT-PL-FUT) ‘nosotros (ex.) iremos’.	
869	t a n t a + ø/a	155 31	1S POSSESSOR	Huallaga	tantaː	weber1996	t a n t a + ø/a	tantaː	Alargamiento después de V corta	
870	ʃ a + j k i	210 24	1S SUBJECT 2S OBJECT FUTURE	Huallaga	šayki	weber1996	ʃ a + j k i	šayki		
871	k aː + ø/a	234 236	1S VERBAL	Huallaga	kaː	weber1996	k aː + ø/a	kaː		
872	ʃ a q -	280	1S VERBAL FUTURE	Huallaga	šaq	weber1996	ʃ a q	šaq		
873	n k i + m a n	326 40	2S CONDITIONAL	Huallaga	nkiman	weber1996	n k i + m a n	nkiman		
874	ʃ u - - -	337	2S OBJECT	Huallaga	šu	weber1996	ʃ u	šu		
875	j k i	348	2S POSSESSOR	Huallaga	yki	weber1996	j k i	yki	/-ki/ después de /-i/, /-yki/ después de otras V cortas	
876	m a + n k i	4 370	2S SUBJECT 1S OBJECT	Huallaga	manki	weber1996	m a + n k i	manki		
877	n k i	370	2S VERBAL	Huallaga	nki	weber1996	n k i	nki		
878	n q a	446	3S FUTURE	Huallaga	nqa	weber1996	n q a	nqa		
879	n	466	3S POSSESSOR	Huallaga	n	weber1996	n	n	/-n/ después de V cortas, otherwise -ni is added	
880	m a + n tʃ i	4 486	3S SUBJECT 1PL OBJECT	Huallaga	manči	weber1996	m a + n tʃ i	manči		
882	m a + n	4 546	3S SUBJECT 1S OBJECT	Huallaga	man	weber1996	m a + n	man		
883	ʃ u - - - + n k i	337 528	3S SUBJECT 2S OBJECT	Huallaga	šunki	weber1996	ʃ u + n k i	šunki		
884	n	546	3S VERBAL	Huallaga	n	weber1996	n	n		
885	p i - t a	5	ABLATIVE	Huallaga	pita	weber1996	p i t a	pita		
886	- ʃ i	598	ACCOMPANIMENT	Huallaga	ši	weber1996	ʃ i	ši		
887	t a	614	ACCUSATIVE	Huallaga	ta	weber1996	t a	ta		
888	p i s	639	ADDITIVE	Huallaga	pis	weber1996	p i s	pis,si		
889	s i	640	ADDITIVE	Huallaga	si	weber1996	s i	pis,si		
890	q	674	AGENTIVE	Huallaga	q	weber1996	q	q		
892	p a q	720	BENEFACTIVE	Huallaga	paq	weber1996	p a q	paq		
896	t a q	754	INTERROGATION	Huallaga	taq	weber1996	t a q	taq,raq	Para preguntas Y/N y expresiones negativas. Al emplear /-taq/, el hablante da por sentado que el interlocutor sabe la respuesta. En cambio, con /-raq/, el hablante no presupone que el interlocutor sabe la respuesta a la pregunta.	
897	ʐ a q	754	INTERROGATION	Huallaga	raq	weber1996	ʐ a q	taq,raq	Para preguntas Y/N y expresiones negativas. Al emplear /-taq/, el hablante da por sentado que el interlocutor sabe la respuesta. En cambio, con /-raq/, el hablante no presupone que el interlocutor sabe la respuesta a la pregunta.	
898	tʃ i	766	CAUSATIVE	Huallaga	či	weber1996	tʃ i	či		
899	m u	800	CISLOCATIVE	Huallaga	mu	weber1996	m u	mu	Con verbos de movimiento, ‘hacia acá’. Con verbos de no movimiento, ‘a una distancia del hablante o del “punto de perspectiva”’.	
900	m u	800	CISLOCATIVE	Huallaga	mu	weber1996	m u	mu		
901	n i r a q	827	SIMILITUDE	Huallaga	niraq	weber1996	n i r a q	niraq, naw	Glosados como ‘SEMejante’ y ‘SIMilitud’. El SEM se limita a atribuir una característica (por lo general una característica física) a un objeto físico.	
902	n a w	9	COMPARATIVE	Huallaga	naw	weber1996	n a w	naw		
903	k aː k u	2271	BODY-PLACEMENT	Huallaga	kaːku	weber1996	k aː k u	kaːku	/wañu-ka:ku-ša/ (morir-CMPL-3PRF) ‘murió’	
904	tʃ a k u	851	CONCENTRALLY	Huallaga	čaku	weber1996	tʃ a k u	čaku	Aparece con verbos cognoscitivos o de percepción y añade al significado del verbo que la acción se realiza con un grado de concentración mayor que el normal. /-yarpa:-čakU/	
905	m a n	853	CONDITIONAL	Huallaga	man	weber1996	m a n	man		
906	ʐ aː	11	UNINTERRUPTED ACTION	Huallaga	raː	weber1996	ʐ aː	raː,rpa		
907	ʐ p a -	878	UNINTERRUPTED ACTION	Huallaga	rpa	weber1996	ʐ p a	raː,rpa		
908	ʐ a q	877	CONTINUATIVE	Huallaga	raq	weber1996	ʐ a q	raq,ran	/-ran/ casi no se emplea, por lo general aparece después de un sufijo de tercera persona /-n/	
909	ʐ a n	877	CONTINUATIVE	Huallaga	ran	weber1996	ʐ a n	raq,ran	/-ran/ casi no se emplea, por lo general aparece después de un sufijo de tercera persona /-n/	
910	m a n	911	DATIVE/ILATIVE	Huallaga	man	weber1996	m a n	man	Similar al dativo de otras variedades. Wasi-:-man ša-mu-nki! / casa-1P-MET venir-LEJ-2 / ‘¡Ven a mi casa!’	
911	n aː - -	939	DESIDERATIVE	Huallaga	naː	weber1996	n aː	naː		
912	j - k u	1007	DIRECTIONAL INSIDE	Huallaga	yku	weber1996	j k u	yku		
913	ʐ q u	1014	DIRECTIONAL OUTSIDE	Huallaga	rqu	weber1996	ʐ q u	rqu		
914	ʐ p u	1000	DIRECTIONAL DOWN	Huallaga	rpu	weber1996	ʐ p u	rpu		
915	ʐ k u	993	DIRECTIONAL UP	Huallaga	rku	weber1996	ʐ k u	rku	También ‘en seguida’	
916	tʃ ai	1036	DISTAL DEMONSTRATIVE	Huallaga	čay	weber1996	tʃ ai	čay		
917	t a q ai	1047	DISTAL REMOVED DEMONSTRATIVE	Huallaga	taqay	weber1996	t a q ai	taqay		
918	tʃ u r a q	1059	DUBITATIVE	Huallaga	čuraq	weber1996	tʃ u r a q	čuraq		
919	i k aː	16	PROGRESSIVE	Huallaga	ykaː	weber1996	i k aː	ykaː	Glosado como imperfectivo ya que aparece con una variedad más amplia de verbos que la que se esperaría de un progresivo o un continuativo.	
920	k i k i	1191	EVIDENTIAL MODIFIER (STRONGEST)	Huallaga	kiki	weber1996	k i k i	kiki, ari		
921	a r i	1095	EMPHATIC	Huallaga	ari	weber1996	a r i	kiki, ari		
